word,value
脏乱,-3.888888888888889
糟报,-2.7777777777777777
早衰,-2.7777777777777777
责备,-2.7777777777777777
贼眼,-2.7777777777777777
战祸,-2.7777777777777777
招灾,-2.7777777777777777
折辱,-2.7777777777777777
中山狼,-2.7777777777777777
诪张,-2.7777777777777777
株连,-3.888888888888889
坠毁,-2.7777777777777777
滋生,-2.7777777777777777
自恃,-2.7777777777777777
走后门,-2.7777777777777777
阻力,-1.6666666666666667
罪状,-5.0
做戏,-3.888888888888889
哀鸿遍野,-3.888888888888889
肮里肮脏,-2.7777777777777777
不成话,-2.7777777777777777
昭然若揭,-5.0
有口无心,-5.0
不干不净,-1.6666666666666667
手脚不干净,-5.0
索然寡味,-5.0
死板板,-5.0
松垮垮,-5.0
危在旦夕,-5.0
无纪律,-5.0
无实质,-5.0
险峭,-0.5555555555555556
不明不白,-2.7777777777777777
不清不白,-3.888888888888889
不透明,-1.6666666666666667
不雅,-1.6666666666666667
不足为外人道,-1.6666666666666667
玄妙,-5.0
罪恶多端,-5.0
皱巴,-5.0
逞性子,-3.888888888888889
臭名昭彰,-5.0
哀梨蒸食,-3.888888888888889
度量小,-3.888888888888889
翻云覆雨,-2.7777777777777777
腐化堕落,-5.0
高不成低不就,-1.6666666666666667
孤单单,-2.7777777777777777
寡断,-3.888888888888889
乖剌,-3.888888888888889
含糊不清,-2.7777777777777777
毫不客气,-2.7777777777777777
胡子拉碴,-1.6666666666666667
荒诞派,-3.888888888888889
荒淫无度,-5.0
晦暝,-3.888888888888889
昏黑,-1.6666666666666667
抱疚,-1.6666666666666667
憋着一肚子气,-3.888888888888889
愁惨,-2.7777777777777777
错愕,-3.888888888888889
掉魂,-3.888888888888889
发牢骚,-1.6666666666666667
烦神,-2.7777777777777777
忿忿不平,-2.7777777777777777
惶然不安,-2.7777777777777777
急死,-3.888888888888889
口诛笔伐,-2.7777777777777777
骂得狗血喷头,-3.888888888888889
人身攻击,-2.7777777777777777
尖嘴薄舌,-2.7777777777777777
心如铁石,-3.888888888888889
见风转舵,-3.888888888888889
可骇,-5.0
枯寂,-2.7777777777777777
狂恣,-5.0
老辣,-2.7777777777777777
肋脦,-3.888888888888889
哩哩罗罗,-1.6666666666666667
令人厌倦,-3.888888888888889
碌碌无为,-3.888888888888889
马马虎虎,-2.7777777777777777
莽莽撞撞,-2.7777777777777777
没骨头,-3.888888888888889
没两下子,-3.888888888888889
没心眼儿,-1.6666666666666667
模棱两可,-2.7777777777777777
少见多怪,-1.6666666666666667
难上难,-2.7777777777777777
一塌糊涂,-5.0
只顾自身利益,-5.0
难驯服,-1.6666666666666667
闹闹嚷嚷,-3.888888888888889
铺张浪费,-3.888888888888889
奇丑无比,-5.0
穷途潦倒,-3.888888888888889
缺乏幽默,-2.7777777777777777
弱智,-5.0
色迷迷,-5.0
傻里傻气,-2.7777777777777777
食古不化,-3.888888888888889
喧天,-5.0
捉摸不定,-5.0
滑天下之大稽,-3.888888888888889
上赶,-3.888888888888889
老成练达,-1.6666666666666667
鼠胆,-5.0
心胸狭隘,-5.0
性格内向,-5.0
越轨,-5.0
哀莫大于心死,-5.0
猫鼠同处,-5.0
四海鼎沸,-3.888888888888889
出疆载质,-5.0
委国听令,-5.0
国步艰难,-3.888888888888889
溽热,-0.5555555555555556
偏疼,-1.6666666666666667
娇惯,-2.7777777777777777
愤懑,-2.7777777777777777
暴跳如雷,-5.0
戟指怒目,-3.888888888888889
怒形于色,-1.6666666666666667
怒目切齿,-2.7777777777777777
城下之盟,-3.888888888888889
抚髀兴叹,-1.6666666666666667
吞吞吐吐,-1.6666666666666667
夏日可畏,-1.6666666666666667
