comment_id,score,keyword
4187307097323005,2.85,想买
4187318908780240,2.54,求
4187777077431030,1.06,买
4187320683525086,0.42,
4187438102364374,-1.89,莆田
4188798760235307,1.09,允
4187320275451008,0.85,南京
4187290664787358,1.92,私信
4187391592397083,3.91,拼图
4187329206386035,1.26,拼
4187374818579722,3.25,想
4187346310012961,1.91,想
4187346897645952,1.26,求
4187889753901784,3.34,知道
4187306782798166,0.21,柳州
4187316136280559,-1.18,莆田
4187418682974484,2.83,沈阳滴
4187411489074577,1.31,西大
4187363858919526,1.05,陕西
4187373119989257,0.0,允
4187400693251072,3.75,大家
4187380124630495,0.17,我我我
4187870434572643,0.0,贵港
4187701974751239,1.08,憧憬
4187370209529147,1.06,宁波
4187414522178192,-3.11,福州
4187307072109931,1.88,柳州
4187312307185216,0.97,台州
4187316060942069,0.17,莆田
4187358100230222,2.18,拼
4187341679808107,2.13,懂
4187350034815372,1.21,
4187384751441091,3.9,好久啊
4187374805669973,1.59,笑
4187309324432613,0.34,人
4187559355056136,1.4,岳阳
4187397014632886,1.73,拼
4187299187379661,3.35,想买
4187314752539950,1.46,修容
4187341427736402,3.01,污
4187368783248175,1.71,无锡
4187360143487681,1.12,
4187438807711762,1.13,台州
4195462963323481,1.84,拼单
4187439868215751,1.77,还差
4187369319992647,0.0,图
4187349183770489,0.35,天津
4187293948408335,2.14,带
4187350811079944,3.92,加
4187336634164208,1.97,好美呀
4187363338616148,0.49,
4187329042318227,2.0,
4187328865856502,0.35,群
4187316464035667,1.37,求
4187551608519575,1.71,济南
4195470856780037,1.79,完
4187325099902766,3.57,想
4187818521046755,2.44,求
4187436248735513,1.85,娥
4187359089531252,1.1,这里这里
4187369043229105,2.56,求
4187302874416631,0.0,图
4187345387414375,1.23,想买
4187576653345493,2.45,想
4187682390769773,1.78,老家
4187388295381004,1.51,一小
4187338688538221,2.68,长沙
4187590607108316,1.02,成都
4187388332780062,1.9,一起
4188081118707807,0.97,济南
4187888474685519,3.36,拼
4187457312367202,1.2,拼图
4187374739380528,3.85,群
4187341364950782,2.37,拼单
4187310516369974,3.2,发
4187507656437985,1.56,广州
4187378463345960,0.43,
4187323740010387,1.35,
4187490670101189,0.52,后天
4187738859300176,3.95,求
4187489759094757,3.87,啥时候上
4187358498985039,1.47,香港
4187349015256423,0.6,加
4187341508031458,1.04,懂
4187402648140892,1.67,广州
4187774657437225,2.98,买
4187317717359306,1.42,笑
4187336604756520,2.32,黄人
4187370636467121,1.31,拼单
4187422583599260,1.45,这里
4187309118906639,1.93,拼
4187341528091154,1.47,成都
4187529479207826,1.96,呜啊
4187361443807820,2.21,拼单
4187465415461932,1.93,带
4187333815095408,4.06,贼
4187376005229324,1.64,拉
4187361741626003,1.2,寄
4187472999004931,3.98,终于
4187561872178076,1.96,长沙
4187336382108255,0.0,福州
4187461238319173,1.71,拼单
4187318648866126,1.96,用户
4187682252636547,1.71,难道
4187325300298987,0.31,
4187369919960762,3.83,寄
4187534940058269,2.14,想
4187354815789905,1.37,来来来
4187359211500035,0.41,广州
4187440405488387,-3.47,莆田
4187388009301323,2.28,邮费
4187403935736421,0.08,南宁
4187320784099805,3.26,天津
4187313783660791,0.0,想要
4187395685407590,0.0,允
4187318774576858,0.17,读书
4187449104289117,1.13,私信
4187400106287378,1.64,寄
4188160118175077,1.27,桂林
4187397115865953,3.9,加
4187336415724882,1.38,保定
4187538882608185,2.7,拼
4187493857108958,1.18,求
4187347119260102,3.81,成都
4187299484597407,3.75,渐
4187311309188031,2.99,拼
4187578426974460,4.72,喜欢
4196231334746371,1.31,买
4187358712384579,1.05,允
4187345656261274,2.53,花钱
4187348499254591,3.36,私
4187297454911927,1.29,小伙伴
4188081203062982,1.72,济南
4187334175923158,1.8,带
4187700091609315,3.07,快来
4187503927705037,1.26,举手
4187404275501326,1.11,有
4187780714467705,1.03,我我我
4187357954007774,1.32,广州
4187584860810274,3.31,求
4187524911708916,1.12,拼法
4187512924424328,1.54,知道
4187302383065955,1.73,邮费
4187320347289480,1.92,七色
4187316161481888,0.0,快
4187597091284859,3.18,想
4187353179962014,3.41,朋友
4187346176282879,0.0,允
4187351049714965,0.73,
4187411322050595,1.26,私
4188542810664585,1.86,七龙珠
4187348415120820,1.6,这里
4187323673315599,3.74,加
4187337661573580,1.08,举手
4187333861534251,2.75,带
4187338831357937,1.03,图
4187327108310987,1.39,有
4188983166972084,1.71,求
4187390719907044,1.33,无锡
4187334154456480,2.64,举手
4187347114907826,3.49,加
4187307357597264,2.22,拼
4187384448499018,3.25,之前
4187304224290679,1.75,求
4187315049517865,0.76,无锡
4187682567605123,2.16,巧
4195460614651310,2.22,买
4187541173955620,1.55,河南省
4187807193234235,1.21,成都
4187318375634400,1.61,买
4195390020746755,-3.15,广州
4187381374706565,1.24,同济
4187407940964256,3.43,私信
4187397815913003,2.14,珠海
4187418992963584,3.48,求
4187381786153645,1.35,现在
4187670235783937,2.23,胶
4187379982019511,1.1,私信
4187759121680562,3.79,七龙珠
4187393580200459,3.18,开心
4187410827333532,0.34,
4187861978393201,0.21,这里
4187150393758208,0.57,特价
4207279546747880,0.47,肇庆
4187388647160078,1.44,台州
4187310767362745,2.3,再
4187336613157838,3.54,七龙珠
4187348532876396,1.84,我我我我
4187340073168706,3.98,想要
4187315691512881,1.01,无锡
4187326412650249,1.74,我
4187291603317640,0.83,我我我
4187493270260481,1.55,合肥
4187348097466104,1.32,私
4187346242894569,1.2,威海
4187427955941559,0.98,想
4187485166186756,3.63,拼
4187323748400737,2.02,淄博
4187373782586471,1.36,买
4187706701691933,1.83,求
4187411355370621,1.89,加
4187411481793203,3.17,求
4187424269382081,1.69,坐等
4187153334154681,1.33,
4187352069339280,1.88,陕西
4187335669772785,1.92,成都
4187559258947725,1.8,好么
4187332417970100,0.62,青岛
4187354615414295,0.12,"我我我,我要"
4187416040838976,1.25,我我
4187297723043506,3.1,哈哈哈可以的
4188737451779709,0.0,完了
4187346410503099,2.35,容易
4187757062589497,1.92,西安
4187782664177130,-0.79,泉州
4187547590506825,1.42,污
4187711289625966,3.07,群
4187682437990839,3.96,拼
4187308649444869,1.97,可以呀
4187356447146855,1.23,抢救
4187455768352953,1.7,有
4187342170602114,3.55,选
4187508143208705,1.16,南京
4187703094731280,3.44,拼
4187381768464023,3.56,邯郸
4187339682509381,0.84,天津
4126223778881913,1.29,
4125348058557089,0.53,很棒
4125195301847063,1.22,好好看
4125215774781536,0.5,谦虚
4125184837136950,1.94,调调
4129097712459718,1.01,语气
4125342056610041,1.41,喜乐
4125207713281521,1.29,太
4125187878293932,1.82,简洁
4125361870498734,1.32,江边
4125200808886822,1.75,吃
4125208124022459,2.24,"二哈,二哈"
4125198024150585,2.89,可爱
4125191187562974,0.42,需要
4128043850850949,2.58,"二哈,二哈"
4125184857769483,1.61,"二哈,二哈,二哈"
4125882350566740,0.43,
4125199085058268,3.78,漂亮
4125192642824320,2.98,拍
4125187005995513,1.13,凉爽
4125196116095993,3.63,好棒
4125186992969873,2.29,喵喵
4125184593872224,3.3,挤眼
4125197063651450,1.28,爱
4125392148864727,1.92,
4125341712276332,2.62,色
4125189472569253,2.54,挤眼
4125189250002475,1.62,
4125200594915814,1.44,移动
4125462706133763,1.51,旅行者
4125189099163558,1.99,发
4125185428360098,3.78,漂亮
4125186376425385,3.08,能力
4125191455723589,0.0,可能
4125196904764648,3.3,芋头
4125195851993692,3.18,开心
4125207872087767,1.74,
4125185180826574,1.64,么么哒
4125195054947806,1.52,美美
4125195315106104,3.83,也挺
4125215921483585,2.0,回复
4125219285702524,1.86,
4188914878525724,1.83,秋咪
4188161096046250,3.78,训练
4188196437389181,1.94,
4188617825561254,3.9,小动作
4188599114612613,2.07,布朗尼
4126314346996485,1.23,
4126826231696086,1.54,哈哈哈哈
4126185120415720,1.13,
4126224605273763,2.9,送
4126185107285719,3.97,蛋白
4126251327549460,1.51,尬
4126185569077427,2.64,笑
4126192666234786,2.27,台湾人
4126193546582390,1.69,大家
4126197313042526,1.52,带
4126261418658163,0.0,傻子
4126188739796547,1.16,脑子
4126282528433807,2.48,好迷
4126191634549877,3.56,尴尬
4126187502955391,1.47,田螺
4126185917151644,2.5,袁卷卷
4126462837485541,1.19,大海
4126190921192118,1.93,笑
4126187746089073,0.0,允
4126186277508704,0.0,允
4126316439334110,2.89,珍妮
4126217084766520,3.56,有点
4126208377477103,1.45,买不到
4126209518821893,2.58,板蓝根
4126193550782873,3.99,看见
4126228250480841,2.64,前
4126184293997973,1.78,是是是
4126186227364129,1.27,尴尬
4126189473428019,-1.32,黑
4126189088451217,3.72,微笑
4126195359117780,1.52,厉害
4126205068459146,3.21,送
4126212118286807,0.03,钻石
4126196578877649,1.26,尴尬
4126195404062511,1.25,
4126186994663516,1.57,
4126215272690059,3.83,黑黑
4126276161328770,3.78,摄影
4126221598345441,1.77,
4126184968948812,0.0,骨气
4126184667067922,1.46,这是啥
4126200064642802,0.06,为了什么
4126192846065782,1.2,台湾人
4126205755675781,0.32,故意
4126245484196887,3.09,笑
4126292566326607,0.25,视频
4126190031869067,1.52,吃
4126184389907585,1.04,脑子
4126397457133777,1.11,最后
4126192954899173,2.54,电脑
4126188554687118,2.31,蘑菇
4126187389376950,3.33,品德
4126185308397081,1.8,乡民
4126210227457477,1.85,口
4126192229416940,-2.34,悲伤
4126202236860162,3.38,尽早
4126550796477774,2.44,台湾人
4126302040945921,0.45,台湾人
4126225646105658,3.6,看得
4126226055999041,1.08,斯基
4126387524695338,2.33,恩
4126186571516255,-1.82,眼泪
4126240795276166,1.54,
4126400733204843,3.59,笑
4126288929446117,0.0,小孩子
4126293366857171,2.53,台湾人
4126294830426317,3.15,威为维
4126186835316998,1.77,東西
4126200677157564,0.83,
4126189276792254,1.45,
4126205382681380,1.86,台湾人
4126204916893028,3.56,看得
4126255936852097,1.09,弹幕
4126185534942027,1.99,认识
4126223460150945,2.25,厉害
4126223506061408,1.25,台湾人
4126206327236550,0.44,丽丽
4126206775844553,1.43,韩露
4126188806397923,1.61,有钱
